url,Electrolytes.Salts.Name,Electrolytes.Solvents.Name,Electrolytes.Additives.Name,Anode.Name,Cathode.Name,System of electrolyte.Type,Properties of electrolyte.LUMO energy level.Value,Properties of electrolyte.LUMO energy level.Unit,Properties of electrolyte.HOMO energy level.Value,Properties of electrolyte.HOMO energy level.Unit,Properties of electrolyte.Viscosity (η).Value,Properties of electrolyte.Viscosity (η).Unit,Properties of electrolyte.Viscosity (η).Temperature.Value,Properties of electrolyte.Viscosity (η).Temperature.Unit,Properties of electrolyte.Dielectric constant (ε).Value,Properties of electrolyte.Melting point.Value,Properties of electrolyte.Melting point.Unit,Properties of electrolyte.Boiling point.Value,Properties of electrolyte.Boiling point.Unit,Properties of electrolyte.Flash Point.Value,Properties of electrolyte.Flash Point.Unit,Performance.Energy density.Value,Performance.Energy density.Unit,Performance.Coulombic efficiency.Value,Performance.Coulombic efficiency.Unit,Performance.Cycle lifespan.Value,Performance.Cycle lifespan.Unit,Performance.Rate performance.Value,Performance.Rate performance.Unit,Electrolytes.Solvents1.Name,Electrolytes.Solvents2.Name,Electrolytes.Solvents3.Name,Electrolytes.Solvents4.Name,Electrolytes.Additives,Electrolytes.Additives1.Name,Electrolytes.Additives2.Name,Anode1.Name,Anode2.Name,Cathode1.Name,Cathode2.Name,Cathode3.Name,Electrolytes.Salts1.Name,Electrolytes.Salts2.Name,Electrolytes.Salts3.Name,Performance.Coulombic efficiency.Value1,Performance.Coulombic efficiency.Value2,Electrolytes.Additives3.Name,Electrolytes.Additives4.Name,Properties of electrolyte.LUMO energy level.Value1.Name,Properties of electrolyte.LUMO energy level.Value1.Value,Properties of electrolyte.LUMO energy level.Value1.Unit,Properties of electrolyte.LUMO energy level.Value2.Name,Properties of electrolyte.LUMO energy level.Value2.Value,Properties of electrolyte.LUMO energy level.Value2.Unit,Properties of electrolyte.LUMO energy level.Value3.Name,Properties of electrolyte.LUMO energy level.Value3.Value,Properties of electrolyte.LUMO energy level.Value3.Unit,Electrolytes.Solvents.Ratio,Electrolytes.Solvents5.Name
10924-10.1149_1.1850861,LiF-LiBr-KBr,N/A,N/A,Li-Si,FeS2,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11025-10.1016_j.electacta.2004.10.061,"Lithium perchlorate (LiClO4), Lithium tetrafluoroborate (LiBF4)",γ-butyrolactone (GBL),Maleic anhydride (MA),Graphite,N/A,Conventional,N/A,eV,N/A,eV,1.75,mPa s,-25,°C,39.1,-45,°C,204,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11029-10.1149_1.1926651,LiPF6,Ethylene carbonate (EC)/Diethyl carbonate (DEC)/Dimethyl carbonate (DMC) (1:1:1),"Pyridine, Hexamethoxycyclotriphosphazene (HMOPA), Hexamethylphosphoramide (HMPA)",Mesocarbon microbead (MCMB) graphite,LiNi0.8Co0.2O2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,"C/5, C/2, C-rate",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181-10.1149_1.1993367,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),ethylene carbonate + dimethyl carbonate (EC + DMC),N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11181-10.1149_1.1993367,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),methyl difluoroacetate (MFA),N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,good,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406-10.1002_qua.20466,N/A,"Ethylene carbonate (EC), Dimethyl carbonate (DMC), Diethyl carbonate (DEC), Ethyl methyl carbonate (EMC)",N/A,Graphite anode,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,36.2,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11756-10.1007_s10008-004-0563-4,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC)/dimethyl carbonate (DMC),N/A,graphite (LF-18D),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,88,%,N/A,cycles,0.2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12010-10.1002_sia.2072,LiPF6,EC/DEC/DMC (2/2/1),N/A,graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,C/20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12095-10.1149_1.2041867,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) + dimethyl carbonate (DMC),N/A,Li metal,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12095-10.1149_1.2041867,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) + ethyl methyl carbonate (EMC),N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12095-10.1149_1.2041867,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) + ethyl methyl carbonate (EMC) + propylene carbonate (PC),N/A,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12189-10.1016_j.electacta.2005.01.034,LiPF6,,N/A,,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Ethylene carbonate (EC),Diethyl carbonate (DEC),Propylene carbonate (PC),,,,,Graphite,Li1.33Ti1.67O4,,,,,,,,,,,,,,,,,,,,,
12200-10.1149_1.1836114,LiPF6,,Vinylene carbonate (VC),N/A,,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Ethylene carbonate (EC),Propylene carbonate (PC),Dimethyl carbonate (DMC),,,,,,,LiCoO2,LiMn2O4,LiNiO2,,,,,,,,,,,,,,,,,,
12563-10.1016_j.jpowsour.2004.06.066,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,Li-doped natural graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,50,cycles,0.2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12983-10.1149_1.1862265,LiPF6,Dimethyl carbonate (DMC):Ethylene carbonate (EC),N/A,Li metal,α-VOPO4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.2 mA/cm2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006-10.1016_j.elecom.2005.04.018,lithium bis-oxalatoborate (LiBOB),ethylene carbonate (EC):propylene carbonate (PC):dimethyl carbonate (DMC) (1:1:3),N/A,graphite (MCMB),carbon-coated LiFePO4 (C-LiFePO4),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,C/3,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006-10.1016_j.elecom.2005.04.018,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC):propylene carbonate (PC):dimethyl carbonate (DMC) (1:1:3),N/A,graphite (MCMB),carbon-coated LiFePO4 (C-LiFePO4),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,C/3,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13006-10.1016_j.elecom.2005.04.018,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC):ethyl methyl carbonate (EMC) (3:7),N/A,graphite (MCMB),carbon-coated LiFePO4 (C-LiFePO4),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,C/3,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13264-10.1016_j.electacta.2005.03.003,LiPF6,,,Graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,74.9-88.5,%,20,cycles,0.20,C,Ethylene carbonate (EC),Diethyl carbonate (DEC),Propylene carbonate (PC),,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
13288-10.1149_1.1914757,lithium bis(oxalato)borate (LiBOB),propylene carbonate (PC) and ethyl acetate (EA),N/A,N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13342-10.1149_1.1836119,Li bis(oxalato) borate (LiBOB),Propylene carbonate (PC): Dimethyl carbonate (DMC) (1:2 by volume),"2,5-ditertbutyl-1,4-dimethoxybenzene",graphite,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,hundreds,cycles,C/2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13342-10.1149_1.1836119,Li bis(oxalato) borate (LiBOB),Propylene carbonate (PC): Dimethyl carbonate (DMC): Toluene (1:2:1 by volume),"2,5-ditertbutyl-1,4-dimethoxybenzene",Li4/3Ti5/3O4,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,hundreds,cycles,C/10,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13428-10.1007_BF02430384,LiPF6,"Ethylene carbonate (EC), Diethyl carbonate (DEC)",NaPF6,graphite anodes,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13555-10.1149_1.1979327,LiPF6,,N/A,Graphite (MAG-10),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,C/25,C,Ethylene carbonate (EC),Ethyl methyl carbonate (EMC),Propylene carbonate (PC),,,,,,,,,,,,,,,,,,,,,,,,,,,
13990-10.1149_1.1836126,N/A,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,Graphite (Mag-10),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14163-10.1149_1.1859693,lithium bis(oxalato)borate (LiBOB),deutero-acetonitrile (D-AN),N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14189-10.1149_1.2083267,lithium hexafluorophosphate (LiPF6),,N/A,graphite anodes,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,diethyl carbonate (DEC),ethylene carbonate (EC),dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,
14328-10.1149_1.1896325,N/A,N/A,N/A,MCMB (mesocarbon microbead),LiCoO2 (lithium-cobalt-oxide),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,"650 mAh after 60 days at 60°C (79.3% retention), 805 mAh after 65 days at room temperature (98.2% retention)",cycles,82 mA (~0.1 C),C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14336-10.1149_1.2060669,LiPF6,EC + DMC + EMC,N/A,MCF (mesophase-pitch-based carbon fiber),LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14703-10.1149_1.1848211,lithium pentafluoroethyltrifluoroborate (LiFAB),ethylene carbonate (EC)/ethyl methyl carbonate (EMC),N/A,graphite,nickel-based oxide,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,99,%,50,cycles,"0.5/0.2, 0.5/1, 0.5/1.5, 0.5/2",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14928-10.1149_1.1951204,N/A,propylene carbonate (PC),N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,"0.2 C, 1.0 C, 2.0 C",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15244-10.1016_j.jpowsour.2005.01.022,LiPF6,,N/A,Natural graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,340,mAh g−1,100,%,N/A,cycles,2.0,C,Ethylene carbonate (EC),Ethyl-methyl carbonate (EMC),Di-methyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,
15399-10.1149_1.2042907,LiCF3SO3,Propylene carbonate (PC),N/A,N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15399-10.1149_1.2042907,LiBF4,1-ethyl-3-methylimidazolium tetrafluoroborate (EMIBF4),N/A,N/A,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15561-10.5796_electrochemistry.73.199,LiPF6,"Ethylene carbonate (EC), Methyl ethyl carbonate (MEC)","OT, MT, BP",Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.4 mA/cm²,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15645-10.1021_jp044283j,lithium perchlorate (LiClO4),,N/A,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,propylene carbonate (PC),γ-butyrolactone (BL),dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,
15805-10.1149_1.1943668,LiClO4,,12-crown-4,"Nongraphitizable carbon (GC20, GC10)",N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Propylene carbonate (PC),Ethylene carbonate (EC),Diethyl carbonate (DEC),,,,,,,,,,,,,,,,,,,,,,,,,,,
15847-10.1016_j.jpowsour.2004.11.042,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DEC)","Trimethyl phosphate (TMP(a)), Trimethyl phosphite (TMP(i))",Li metal,LiNi0.8Co0.2O2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.2,mA/cm²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15878-10.1007_s10800-005-9039-1,LiPF6,Ethylene carbonate (EC)-Diethyl carbonate (DEC) (1:1),N/A,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200-300,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15878-10.1007_s10800-005-9039-1,LiN(CF3SO2)2 (LiTFSI),"1,3-dioxolane",Triethylamine (0.1%),Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200-300,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15878-10.1007_s10800-005-9039-1,LiClO4,"1,3-dioxolane",N/A,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200-300,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15910-10.5796_electrochemistry.73.788,LiPF6,"Propylene carbonate (PC), Dimethyl carbonate (DMC)","Phenyl acetate (PA), Iso-propyl acetate (IPC), 1-acetoxymethoxy ethane (AME), Acetic anhydride (AA)",Graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15981-10.1021_jp051626k,LiPF6,,N/A,Li metal,Stainless steel,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,500,cycles,N/A,C,Dimethyl carbonate (DMC),Ethylene carbonate (EC),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2377-10.1007_s11175-005-0186-9,,,Triethylamine,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200-300,cycles,N/A,C,"1,3-dioxolane",Ethylene carbonate (EC),Diethyl carbonate (DEC),,,,,,,,,,Lithium perchlorate (LiClO4),Lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),Lithium hexafluorophosphate (LiPF6),,,,,,,,,,,,,,,
2427-10.1149_1.1993389,LiPF6,"Ethylene carbonate (EC), Diethyl carbonate (DEC)",4-Isopropyl phenyl diphenyl phosphate (IPPP),Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,92,%,50,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457-10.1016_j.jpowsour.2005.01.015,LiPF6,Ethylene carbonate (EC): Ethyl methyl carbonate (EMC): Dimethyl carbonate (DMC): Propylene carbonate (PC) (3:6:1:1),"Triethyl 2-(1,3-oxazolidin-3-yl)ethyl orthosilicate (OZOS)",Graphite,N/A,Conventional,N/A,eV,N/A,eV,2.04,mm2/s,N/A,°C,4.9,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,73.0,99.0,,,,,,,,,,,,,
2700-10.1246_cl.2005.1052,LiPF6,,,MCMB6-28 (graphite),Li metal,Conventional,,,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,Ethylene carbonate (EC),Dimethyl carbonate (DMC),,,,1-acetoxy-2-methoxyethane (AME),isopropenyl acetate (IPA),,,,,,,,,,,phenyl acetate (PA),acetic anhydride (AA),PC,1.235,eV,EC,1.175,eV,DMC,1.054,eV,,
