url,Electrolytes.Salts.Name,Electrolytes.Solvents.Name,Electrolytes.Additives.Name,Anode.Name,Cathode.Name,System of electrolyte.Type,Properties of electrolyte.LUMO energy level.Value,Properties of electrolyte.LUMO energy level.Unit,Properties of electrolyte.HOMO energy level.Value,Properties of electrolyte.HOMO energy level.Unit,Properties of electrolyte.Viscosity (η).Value,Properties of electrolyte.Viscosity (η).Unit,Properties of electrolyte.Viscosity (η).Temperature.Value,Properties of electrolyte.Viscosity (η).Temperature.Unit,Properties of electrolyte.Dielectric constant (ε).Value,Properties of electrolyte.Melting point.Value,Properties of electrolyte.Melting point.Unit,Properties of electrolyte.Boiling point.Value,Properties of electrolyte.Boiling point.Unit,Properties of electrolyte.Flash Point.Value,Properties of electrolyte.Flash Point.Unit,Performance.Energy density.Value,Performance.Energy density.Unit,Performance.Coulombic efficiency.Value,Performance.Coulombic efficiency.Unit,Performance.Cycle lifespan.Value,Performance.Cycle lifespan.Unit,Performance.Rate performance.Value,Performance.Rate performance.Unit,Cathode.Name1,Cathode.Name2,Cathode.Name3,Cathode.Name4,Electrolytes.Solvents1.Name,Electrolytes.Solvents2.Name,Electrolytes.Solvents3.Name,Electrolytes.Solvents4.Name,Electrolytes.Additives,Cathode,Properties of electrolyte.LUMO energy level,Properties of electrolyte.HOMO energy level,Properties of electrolyte.Viscosity (η),Properties of electrolyte.Dielectric constant (ε),Properties of electrolyte.Melting point,Properties of electrolyte.Boiling point,Properties of electrolyte.Flash Point,Performance.Energy density,Performance.Coulombic efficiency,Performance.Cycle lifespan,Performance.Rate performance,Electrolytes.Salts1.Name,Electrolytes.Salts2.Name,Electrolytes.Salts3.Name,Electrolytes.Salts4.Name,Electrolytes.Additives1.Name,Performance.Rate performance.Value1,Performance.Rate performance.Value2,Cathode1.Name,Cathode2.Name,Cathode3.Name,Performance.Coulombic efficiency.Note,Electrolytes.Solvents5.Name,Electrolytes.Additives2.Name,Cathode.Name5,Cathode.Name6,Cathode.Name7,Performance.Energy density.Value1,Performance.Energy density.Value2,Performance.Energy density.Value3,Performance.Energy density.Value4,Performance.Energy density.Value5,Performance.Energy density.Value6,Performance.Energy density.Value7
11248-10.1016_j.ssi.2007.03.001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11346-10.1016_j.jpowsour.2007.07.058,,,,Si thin-film,Li metal,Conventional,,,,,,,,,,,,,,,,,,88.1,%,100,cycles,C/5,C,,,,,ethylene carbonate (EC),diethyl carbonate (DEC),,,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,lithium hexafluorophosphate (LiPF6),lithium bis(oxalato) borate (LiBOB),,,,,,,,,,,,,,,,,,,,,
11358-10.1016_j.electacta.2007.01.051,Lithium nitrate (LiNO3),Water (H2O),N/A,LiV3O8,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.2,mA/cm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11639-10.1016_j.electacta.2006.08.066,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),PEG-dM (250),N/A,Li metal,Al (aluminum current collector),Conventional,N/A,eV,N/A,eV,0.02,Pa s,25,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12167-10.1016_j.jpowsour.2007.09.046,LiPF6,Ethylene carbonate (EC):Dimethyl carbonate (DMC) 1:1,N/A,Sn,LiNi0.5Mn1.5O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,"1 C vs. cathode (C/3 vs. anode), 3 C vs. cathode (1 C vs. anode)",C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12379-10.1016_j.elecom.2007.04.020,,,N/A,Li metal,NiS,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,125 mA g^-1,C,,,,,Ethylene carbonate (EC),Dimethyl carbonate (DMC),poly(ethylene glycol) dimethyl ether 500 (PEGDME 500),,,,,,,,,,,,,,,LiPF6,lithium bis(trifluoromethanesulfonyl)imide (LiTFSI),,,,,,,,,,,,,,,,,,,,,
12538-10.1002_adfm.200700638,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC), Ethyl methyl carbonate (EMC)",N/A,LiTi2(PO4)3,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,60,Wh/kg,100,%,200,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12902-10.1016_j.electacta.2006.10.068,lithium bis(oxalato)borate (LiBOB),propylene carbonate (PC):dimethyl carbonate (DMC):ethylene carbonate (EC):diethyl carbonate (DEC) (1:2:1:2 ratio by volume),N/A,graphite,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,>200,cycles,C/10,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12902-10.1016_j.electacta.2006.10.068,lithiumhexafluorophosphate (LiPF6),propylene carbonate (PC):dimethyl carbonate (DMC):ethylene carbonate (EC):diethyl carbonate (DEC) (1:2:1:2 ratio by volume),N/A,graphite,LiFePO4 (LFP),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,>200,cycles,C/10,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13044-10.1016_j.electacta.2007.07.074,lithium hexafluorophosphate (LiPF6),,N/A,Li metal,LiNi0.8Co0.2O2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,ethylene carbonate (EC),di-ethyl carbonate (DEC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13190-10.1149_1.2756975,LiPF6,Ethylene carbonate (EC)/Dimethyl carbonate (DMC),N/A,Li4/3Ti5/3O4,Na3V2(PO4)2F3,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,250,cycles,C/5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13190-10.1149_1.2756975,NaPF6,Ethylene carbonate (EC)/Dimethyl carbonate (DMC),N/A,Li4/3Ti5/3O4,Na3V2(PO4)2F3,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,250,cycles,C/5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13190-10.1149_1.2756975,LiPF6/NaPF6,Ethylene carbonate (EC)/Dimethyl carbonate (DMC),N/A,Li4/3Ti5/3O4,Na3V2(PO4)2F3,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,70,cycles,C/5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13720-10.1016_j.jpowsour.2007.03.034,LiPF6,Ethylene carbonate (EC)/Diethyl carbonate (DEC),N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13919-10.1016_j.jpowsour.2007.08.061,LiPF6,"Ethylene carbonate (EC)/Ethyl methyl carbonate (EMC) (1/2, v/v)",Cyclohexyl benzene (CHB),Graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13951-10.1021_cm062246u,LiPF6,"Ethylene carbonate (EC), Dimethyl carbonate (DMC)",N/A,Li metal,LiCoPO4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13974-10.1149_1.2789404,LiPF6,N/A,N/A,graphitic carbon,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,1600,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13977-10.1149_1.2426799,LiPF6,Ethylene carbonate (EC) and Dimethyl carbonate (DMC),N/A,Li metal,LiNi0.5Mn1.5O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,C/4,8C,,,,,,,,,,,,,,,,
13993-10.1007_s11426-007-0088-7,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC), dimethyl carbonate (DMC), diethyl carbonate (DEC)",N/A,Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14170-10.1134_S1023193507060067,N/A,N/A,N/A,Li metal,thiopyrilium hexachlorostannate salts,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,575–549,K,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14308-10.1149_1.2433698,lithium hexafluorophosphate (LiPF6),,,Li metal,LiMn2O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.2,C,,,,,ethylene carbonate (EC),diethyl carbonate (DEC),,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14373-10.1016_j.jpowsour.2007.04.089,lithium hexafluorophosphate (LiPF6),"ethylene carbonate (EC):ethyl methyl carbonate (EMC) (4:6, v/v)","triphenylphosphate (TPP), vinyl acetate (VA), vinylene carbonate (VC)",mesocarbon microbeads (MCMB),lithium cobalt oxide (LiCoO2),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,40,cycles,2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14471-10.1149_1.2784141,"lithium bis(pentafluoroethanesulfonyl)imide (LiBETI), lithium hexafluorophosphate (LiPF6)","ethylene carbonate (EC), dimethyl carbonate (DMC)","sodium phosphate (Na3PO4), disodium hydrogen phosphate (Na2HPO4), tetrasodium pyrophosphate (Na4P2O7), sodium triphosphate (Na5P3O10)",graphite,Li1.04Mn1.96O4,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,1C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14781-10.1016_j.carbon.2006.12.018,lithium hexafluorophosphate (LiPF6),ethylene carbonate (EC) + diethyl carbonate (DEC),N/A,graphite,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,C/20,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15014-10.1016_j.jpowsour.2006.09.040,lithium oxalyldifluoroborate (LiODFB),,N/A,graphite,NMC (LiNiMnCoO2),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,0.1C,C,,,,,propylene carbonate (PC),ethylene carbonate (EC),ethyl methyl carbonate (EMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15099-10.1149_1.2754387,LiPF6,Ethylene carbonate (EC) and Diethyl carbonate (DEC),N/A,Graphite,"LiMn2O4, LiMn1.8Li0.1Ni0.1O3.8F0.2, LiCoO2, LiNi0.85Co0.15O2",Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,30 cycles,cycles,C/10 to 4C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15122-10.1016_j.jpowsour.2006.09.111,LiPF6,Ethylene carbonate (EC)/Diethylene carbonate (DEC),N/A,Natural graphite (SL20),N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15166-10.1149_1.2712138,lithium hexafluorophosphate (LiPF6),,vinylene carbonate (VC),graphite anode,,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,ethylene carbonate (EC),propylene carbonate (PC),dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,lithium cobalt oxide (LiCoO2),lithium nickel oxide (LiNiO2),lithium manganese oxide (LiMn2O4),,,,,,,,,,,,,
15298-10.1016_j.electacta.2007.08.013,lithium bis[croconato]borate (LBCB),"propylene carbonate (PC), ethylene carbonate (EC), 1,2-dimethoxyethane (DME), acetonitrile (AN), tetrahydrofuran (THF)",N/A,N/A,N/A,Conventional,N/A,eV,-6.845,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15366-10.1007_s11595-006-3494-3,LiPF6,Ethylene carbonate (EC): Dimethyl carbonate (DMC): Ethyl methyl carbonate (1:1:1),"1,4-dioxane (DOA)",Li metal,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,1 mA cm–2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15423-10.1016_j.elecom.2006.10.022,Lithium difluoro(oxalato)borate (LiDFOB),Ethylene carbonate (EC)/Propylene carbonate (PC)/Dimethyl carbonate (DMC) (1:1:3 by weight),N/A,MCMB (Mesocarbon Microbeads),Li1.1Mn1/3Ni1/3Co1/3O2 (L333),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,94% capacity retention after 100 cycles,cycles,10 C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15423-10.1016_j.elecom.2006.10.022,Lithium bis(oxalato)borate (LiBOB),Ethylene carbonate (EC)/Propylene carbonate (PC)/Dimethyl carbonate (DMC) (1:1:3 by weight),N/A,MCMB (Mesocarbon Microbeads),Li1.1Mn1/3Ni1/3Co1/3O2 (L333),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,6% capacity loss after 100 cycles,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15423-10.1016_j.elecom.2006.10.022,Lithium hexafluorophosphate (LiPF6),Ethylene carbonate (EC)/Propylene carbonate (PC)/Dimethyl carbonate (DMC) (1:1:3 by weight),N/A,MCMB (Mesocarbon Microbeads),Li1.1Mn1/3Ni1/3Co1/3O2 (L333),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,17% capacity loss after 100 cycles,cycles,10 C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15504-10.1016_j.matlet.2006.11.060,LiPF6,Ethylene carbonate (EC) + Diethyl carbonate (DEC) (1:1 wt.%),4-isopropyl phenyl diphenyl phosphate (IPPP),Graphite,LiCoO2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,94.0,%,65,cycles,0.2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15535-10.1016_j.jpowsour.2007.04.088,LiPF6,Ethylene carbonate (EC):Diethylenecarbonate (DEC) (1:1 by v/v),Triphenylphosphate (TPP),Graphite,LiNi0.3Mn0.3Co0.3O2,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,40,cycles,2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15541-10.1149_1.2750439,lithium hexafluorophosphate (LiPF6),,triacetoxyvinylsilane (VS),Li metal,lithium cobalt oxide (LiCoO2),Conventional,-1.2,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,200,cycles,0.5,C,,,,,ethylene carbonate (EC),dimethyl carbonate (DMC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15707-10.1016_j.elecom.2007.05.012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15803-10.1016_j.jpowsour.2006.09.099,lithium hexafluorophosphate (LiPF6),"propylene carbonate (PC)/1,2-dimethoxyethane (DME)",N/A,Li metal,N/A,Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,8170,Wh/kg,N/A,%,N/A,cycles,N/A,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15825-10.1149_1.2409743,LiPF6,"EC/PC/DMC (1:1:3, by weight)",LiDFOB,MCMB,Li1.1[Mn1/3Ni1/3Co1/3]0.9O2 (L333),Conventional,N/A,eV,N/A,eV,N/A,Pa s,N/A,°C,N/A,N/A,°C,N/A,°C,N/A,°C,N/A,Wh/kg,N/A,%,100,cycles,C/2,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
